Time,Setpoint,Velocity,Throttle,Disturbance,Energy,Efficiency
0,5,0.245095,1,0,6.12738,0.002
0.05,5,0.490182,1,0,18.3819,0.002
0.1,5,0.735244,1,0,36.763,0.002
0.15,5,0.980264,1,0,61.2696,0.002
0.2,5,1.22523,1,0,91.9003,0.002
0.25,5,1.47011,1,0,128.653,0.002
0.3,5,1.71491,1,0,171.526,0.002
0.35,5,1.9596,1,0,220.516,0.002
0.4,5,2.20417,1,0,275.62,0.002
0.45,5,2.44859,1,0,336.835,0.002
0.5,5,2.69286,1,0,404.157,0.002
0.55,5,2.93696,1,0,477.58,0.002
0.6,5,3.18086,1,0,557.102,0.002
0.65,5,3.42456,1,0,642.716,0.002
0.7,5,3.66804,1,0,734.417,0.002
0.75,5,3.91128,1,0,832.199,0.002
0.8,5,4.15427,1,0,936.056,0.002
0.85,5,4.39699,1,0,1045.98,0.002
0.9,5,4.63942,1,0,1161.97,0.002
0.95,5,4.88155,1,0,1284,0.002
1,5,5.12336,1,0,1412.09,0.002
1.05,5,5.36484,1,0,1546.21,0.002
1.1,5,5.35596,0,0,1546.21,0
1.15,5,5.35431,0.0288257,0,1550.07,0.0693825
1.2,5,5.34546,0,0,1550.07,0
1.25,5,5.36569,0.116311,0,1565.67,0.0171953
1.3,5,5.35682,0,0,1565.67,0
1.35,5,5.34796,0,0,1565.67,0
1.4,5,5.33911,0,0,1565.67,0
1.45,5,5.34788,0.0704193,0,1575.09,0.0284013
1.5,5,5.33904,0,0,1575.09,0
1.55,5,5.33092,0.00285262,0,1575.47,0.701111
1.6,5,5.34317,0.0843027,0,1586.73,0.023724
1.65,5,5.33433,0,0,1586.73,0
1.7,5,5.3255,0,0,1586.73,0
1.75,5,5.33475,0.0722402,0,1596.36,0.0276854
1.8,5,5.32592,0,0,1596.36,0
1.85,5,5.31711,0,0,1596.36,0
1.9,5,5.33337,0.100258,0,1609.73,0.0199486
1.95,5,5.32455,0,0,1609.73,0
2,5,5.31574,0,0,1609.73,0
2.05,5,5.31281,0.0234801,0,1612.85,0.0851786
2.1,5,5.30401,0,0,1612.85,0
2.15,5,5.3296,0.137487,0,1631.17,0.0145469
2.2,5,5.32078,0,0,1631.17,0
2.25,5,5.31198,0,0,1631.17,0
2.3,5,5.30318,0,0,1631.17,0
2.35,5,5.30024,0.0233719,0,1634.26,0.085573
2.4,5,5.29147,0,0,1634.26,0
2.45,5,5.31764,0.139744,0,1652.84,0.0143119
2.5,5,5.30884,0,0,1652.84,0
2.55,5,5.30005,0,0,1652.84,0
2.6,5,5.29127,0,0,1652.84,0
2.65,5,5.28773,0.0208848,0,1655.6,0.0957636
2.7,5,5.27897,0,0,1655.6,0
2.75,5,5.30736,0.148542,0,1675.31,0.0134642
2.8,5,5.29858,0,0,1675.31,0
2.85,5,5.2898,0,0,1675.31,0
2.9,5,5.28104,0,0,1675.31,0
2.95,5,5.27229,0,0,1675.31,0
3,5,5.28949,0.103749,0,1689.03,0.0192773
3.05,5,5.28073,0,0,1689.03,0
3.1,5,5.27198,0,0,1689.03,0
3.15,5,5.26928,0.0241341,0,1692.21,0.0828702
3.2,5,5.26055,0,0,1692.21,0
3.25,5,5.28745,0.142483,0,1711.04,0.0140368
3.3,5,5.2787,0,0,1711.04,0
3.35,5,5.26995,0,0,1711.04,0
3.4,5,5.26122,0,0,1711.04,0
3.45,5,5.25819,0.022762,0,1714.04,0.0878656
3.5,5,5.24947,0,0,1714.04,0
3.55,5,5.27777,0.147993,0,1733.56,0.0135142
3.6,5,5.26902,0,0,1733.56,0
3.65,5,5.26029,0,0,1733.56,0
3.7,5,5.25158,0,0,1733.56,0
3.75,5,5.24553,0.0106214,0,1734.96,0.188299
3.8,5,5.24936,0.0501449,0,1741.54,0.0398844
3.85,5,5.24066,0,0,1741.54,0
3.9,5,5.25713,0.100613,0,1754.76,0.0198781
3.95,5,5.24841,0,0,1754.76,0
4,5,5.23971,0,0,1754.76,0
4.05,5,5.24111,0.0403485,0,1760.05,0.0495681
4.1,5,5.23242,0,0,1760.05,0
4.15,5,5.24931,0.102271,0,1773.47,0.0195559
4.2,5,5.24061,0,0,1773.47,0
4.25,5,5.23192,0,0,1773.47,0
4.3,5,5.23264,0.0376202,0,1778.39,0.053163
4.35,5,5.22396,0,0,1778.39,0
4.4,5,5.24308,0.111105,0,1792.95,0.0180011
4.45,5,5.23438,0,0,1792.95,0
4.5,5,5.2257,0,0,1792.95,0
4.55,5,5.22073,0.014775,0,1794.88,0.135364
4.6,5,5.21963,0.0302593,0,1798.83,0.0660953
4.65,5,5.21097,0,0,1798.83,0
4.7,5,5.24492,0.17039,0,1821.17,0.0117378
4.75,5,5.23622,0,0,1821.17,0
4.8,5,5.22754,0,0,1821.17,0
4.85,5,5.21887,0,0,1821.17,0
4.9,5,5.21021,0,0,1821.17,0
4.95,5,5.21856,0.0679873,0,1830.04,0.0294173
5,5,5.2099,0,0,1830.04,0
5.05,15,5.45126,1,0,1966.32,0.002
5.1,15,5.69226,1,0,2108.63,0.002
5.15,15,5.93289,1,0,2256.95,0.002
5.2,15,6.17313,1,0,2411.28,0.002
5.25,15,6.41297,1,0,2571.6,0.002
5.3,15,6.6524,1,0,2737.91,0.002
5.35,15,6.8914,1,0,2910.2,0.002
5.4,15,7.12995,1,0,3088.45,0.002
5.45,15,7.36804,1,0,3272.65,0.002
5.5,15,7.60565,1,0,3462.79,0.002
5.55,15,7.84277,1,0,3658.86,0.002
5.6,15,8.07939,1,0,3860.84,0.002
5.65,15,8.31549,1,0,4068.73,0.002
5.7,15,8.55106,1,0,4282.51,0.002
5.75,15,8.78608,1,0,4502.16,0.002
5.8,15,9.02053,1,0,4727.67,0.002
5.85,15,9.25441,1,0,4959.03,0.002
5.9,15,9.48771,1,0,5196.23,0.002
5.95,15,9.72039,1,0,5439.24,0.002
6,15,9.95247,1,0,5688.05,0.002
6.05,15,10.1839,1,0,5942.65,0.002
6.1,15,10.4147,1,0,6203.01,0.002
6.15,15,10.6449,1,0,6469.13,0.002
6.2,15,10.8743,1,0,6740.99,0.002
6.25,15,11.1031,1,0,7018.57,0.002
6.3,15,11.3312,1,0,7301.85,0.002
6.35,15,11.5586,1,0,7590.82,0.002
6.4,15,11.7853,1,0,7885.45,0.002
6.45,15,12.0113,1,0,8185.73,0.002
6.5,15,12.2365,1,0,8491.65,0.002
6.55,15,12.461,1,0,8803.17,0.002
6.6,15,12.6847,1,0,9120.29,0.002
6.65,15,12.9076,1,0,9442.98,0.002
6.7,15,13.1297,1,0,9771.22,0.002
6.75,15,13.351,1,0,10105,0.002
6.8,15,13.5716,1,0,10444.3,0.002
6.85,15,13.7913,1,0,10789.1,0.002
6.9,15,14.0102,1,0,11139.3,0.002
6.95,15,14.2282,1,0,11495,0.002
7,15,14.4454,1,0,11856.2,0.002
7.05,15,14.6617,1,0,12222.7,0.002
7.1,15,14.8772,1,0,12594.6,0.002
7.15,15,15.0918,1,0,12971.9,0.002
7.2,15,15.3055,1,0,13354.6,0.002
7.25,15,15.5183,1,0,13742.5,0.002
7.3,15,15.7302,1,0,14135.8,0.002
7.35,15,15.9412,1,0,14534.3,0.002
7.4,15,16.1513,1,0,14938.1,0.002
7.45,15,16.3604,1,0,15347.1,0.002
7.5,15,16.5687,1,0,15761.3,0.002
7.55,15,16.5259,0,0,15761.3,0
7.6,15,16.6715,0.752616,0,16075,0.0026574
7.65,15,16.6283,0,0,16075,0
7.7,15,16.5853,0,0,16075,0
7.75,15,16.5425,0,0,16075,0
7.8,15,16.4999,0,0,16075,0
7.85,15,16.5448,0.34925,0,16219.5,0.00572656
7.9,15,16.5021,0,0,16219.5,0
7.95,15,16.4624,0.01076,0,16223.9,0.185874
8,15,16.5281,0.431842,0,16402.3,0.00463132
8.05,15,16.4105,0,150,16402.3,0
8.1,15,16.5435,1,150,16815.9,0.002
8.15,15,16.4259,0,150,16815.9,0
8.2,15,16.5588,1,150,17229.9,0.002
8.25,15,16.4411,0,150,17229.9,0
8.3,15,16.4839,0.639535,150,17493.4,0.00312727
8.35,15,16.3665,0,150,17493.4,0
8.4,15,16.4997,1,150,17905.9,0.002
8.45,15,16.3823,0,150,17905.9,0
8.5,15,16.502,0.946621,150,18296.5,0.00211278
8.55,15,16.3846,0,150,18296.5,0
8.6,15,16.4235,0.623107,150,18552.3,0.00320972
8.65,15,16.3064,0,150,18552.3,0
8.7,15,16.4398,1,150,18963.3,0.002
8.75,15,16.3227,0,150,18963.3,0
8.8,15,16.456,0.999582,150,19374.5,0.00200084
8.85,15,16.3387,0,150,19374.5,0
8.9,15,16.3421,0.480113,150,19570.7,0.00416568
8.95,15,16.2254,0,150,19570.7,0
9,15,16.3592,1,150,19979.7,0.002
9.05,15,16.2424,0,150,19979.7,0
9.1,15,16.3761,1,150,20389.1,0.002
9.15,15,16.2593,0,150,20389.1,0
9.2,15,16.365,0.88817,150,20752.4,0.00225182
9.25,15,16.2482,0,150,20752.4,0
9.3,15,16.3301,0.792974,150,21076.2,0.00252215
9.35,15,16.2135,0,150,21076.2,0
9.4,15,16.3473,1,150,21484.8,0.002
9.45,15,16.2306,0,150,21484.8,0
9.5,15,16.2503,0.543521,150,21705.7,0.00367971
9.55,15,16.134,0,150,21705.7,0
9.6,15,16.2682,1,150,22112.4,0.002
9.65,15,16.1518,0,150,22112.4,0
9.7,15,16.2859,1,150,22519.5,0.002
9.75,15,16.1695,0,150,22519.5,0
